Name,Logo,Site,Funding Rounds,Location(s),Notes
Dundee Venture Capital,lurg0eeflomijwqy8yvy.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/NbpY7_PO7OAGdKOwDq59ug/5jBHf9RHyW1uu0xsjJMdU4jdeqDGILrFWHmj94T9BFZd7zvfQx7nKBlihx_aHhb5/rABm8Cz6-oGLFNday6sS7GV5q_OwY8_1jgABrpnFT1Q),http://www.dundeeventurecapital.com/,Dundee Venture Capital II,"""Omaha, NE""",
EIS Angel Co-Investment,3f405dd27b6bea895c87c1fe1490c2b9.gif (https://v5.airtableusercontent.com/v1/15/15/1678500000000/jtDM7LrwnpD-KYpstqr6Wg/6zxVE64oFwy4zl3-U24pSYk3yFgM-Xt6sPddM_g7lnPAdaemauqEgjdtEP21URHg4uvW9XEcvl63KCAcYdcVgw/e5hvv3XY8YuDpNxe15kP-vZvGBP-WkLpPM-ebjbsXLE),http://www.lbangels.co.uk/,EIS Angel Co-Investment II,London,
Elephant Partners,,http://elephantvc.com/,Elephant Partners I,"""New York, NY"",Boston/Cambridge",
Emergent Medical Partners,23d8aca39fdf57c4fb2fd303ac9530ef.gif (https://v5.airtableusercontent.com/v1/15/15/1678500000000/U-SXA2lzWp_dTxAIlV_jIA/HhZfL-FECFZL2TESeD6KPjbWTboFQrlq_d9-QTo1LTpIPYDSfYA7Sjbnf-EZB4UVZt6TIA-e6853MT5e0E0J9Q/DbFUvRWUISlGEOfXzpauE8YicykjocCAIUYM1h3GJfQ),http://www.emvllp.com/,Emergent Medical Partners I,SF Bay Area/Silicon Valley,
Engineering Capital,tvoltujc8zm2zr8npi7l.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/-c-XJ788ZRXX3gw5sFoYAQ/U2PIRLevNkRTZzubJdxN0mXv5wrw5H6_7QBepEqeOrZPyUEe8nwM9xIk-3lv4fSD/RJsFy_1OGyl7oF_iGbOVpkoJqPrnjbVm7lZtxWzsstw),http://www.engineeringcapital.com/,Engineering Capital I,SF Bay Area/Silicon Valley,
ENIAC Ventures,mjraop06ordaju8gtrb4.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ncybvzCUg1PNumsR3SxZOA/JF64iWT4k9FIRi4gY3DpjvKLORrKYrAkvGm0W9GpoZZ2e6W7aLsUVC5GqkgQv2O_/AF3dG3SlaJh5QKFnORJk20DFl9UxdZ8lUYGErh1XFd4),http://eniac.vc/,"ENIAC Ventures III,ENIAC Ventures II","""New York, NY""",
Expa,0677cb27a8e2930cac92bdf511f78ec2.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/BLKP-xfU-VWHeiLsKzLzdA/zPAUoWDvuqVrjxzLxM2_dS-4PmutfqwGdxVtSXY_hG6VYZ6pTxK5zvRLUCwntHUQbqqB6OHWS_WZv9WBFw4EoQ/Wp7wT797FUeg0KOAiiZKFkiSmV1nL07oNDZrsy0J78c),http://www.expa.com/,Expa I,SF Bay Area/Silicon Valley,
Felicis Ventures,d9aqjy65hhsdpcqvstte.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/LZx_Yo89-kV-5uCjwjs9aw/O6Uc6BadA6LOJakQYVhSnVT8MwaHToGHFwbVF1FKwHgrSgv_qP1iJh8Tud09qi5g/ZiqXZT_e6Ipb-TE7UvVlNhda70fppUUdcJx2NFCyZyU),http://www.felicis.com/,"Felicis Ventures V,Felicis Ventures IV,Felicis Ventures III",SF Bay Area/Silicon Valley,
Female Founders Fund (FCubed),pk2qkxqcryqvsrva8w6k.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/r-KHm1c_nd__N8-GUREPFw/I_DjMyL0vTp6fe-QItd4Bc5MKttCAWdhbcHNxxZoEQlBCwUQ1FlY7YkionHAwpd5/P5X3_W-tFhImdnZy5SRJWFjGAeXTwLA3bcfDP4WxNV0),http://femalefoundersfund.com/,Female Founders Fund (FCubed) I,"""New York, NY""",
ff VC,oblhjodv4mesinvjjg3k.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/HfRl9O64XFSAxmwI_BTGZA/dBtBZVZBWVxQ34C2CgI2CYpj3B9S6lQGq_ofnB1V8rYu6Yjbsy6VxK5rx4eO7b6u/PY6sHCRLYSXhXQJE5ybgK7kD3UwATTkKBuVaCDt4fZU),http://www.ffvc.com/,"ff VC III,ff VC III","""New York, NY""",
First Round Capital,qulwlsgonnklkvnhevze.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Cjov738SEcR-7mX5tmdGHg/KoHPQu2rqpWTIsrzUuJag8f_SNRjtqy-nVwjWZ_8Hymiow9aqm_r2dVCyoIkxPRe/kjqaihkCci5BN7qiHeOdSh_pLqYLYYKG03Yq6uWbVqs),http://www.firstround.com/,"First Round Capital VI,First Round Capital V,First Round Capital IV","""New York, NY"",SF Bay Area/Silicon Valley,Philadelphia",
Floodgate,715caf16e22061514b2b37d53d656aa1.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/tLb8-5smnrJt8UoTjS0Vhg/SFLskcZpOSnnfbjb24Bzo8RFhexuj-TiWdqso4Sx15hqnkXwRMkDAGGduN8aQowoaVbxzo1JjgWqy0Nq_U6Sjw/GLSD4TnaSFJb3JUTpnK6I0BMiq9qGdCek-sH8eV1tFg),http://www.floodgate.com/,Floodgate IV,SF Bay Area/Silicon Valley,
Forbion Capital Partners,914212cd24be1055fadd35d9cd816f13.gif (https://v5.airtableusercontent.com/v1/15/15/1678500000000/8PJu-ymU3sWNea4vxiY1tQ/3gHzNuI7QNp5OYkM3XwHNP6mjrWZSB6f-WLISvrYYczOdo27uK_SBt0v2TPMFnpTtBkxw2eREF0Ru5QcNSZ19g/Oy3Mvbmecy7srGlhBiBstHpB_Jn_s3ytfwAe9HgOLMU),http://www.forbion.com/,Forbion Capital Partners ,"""Naarden, The Netherlands""",
Forerunner Ventures,cc7c7aa5154176e50b3fafc400e2323b.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/4Rvt4Km8Capn0u-KljbaOQ/SxQDCoweg0jFW-lR-wohYgERpHQu41ci53Gf03PHg-aI_89HK7M6IksxDfs0u3kJdRtCKx7y9L58xDVsiMZU_g/bhwNC_UiuYxI37iup0IS5x7M_NJb2kCYNx7KxijXDyM),http://forerunnerventures.com/,"Forerunner Ventures III,Forerunner Ventures II,Forerunner Ventures I",SF Bay Area/Silicon Valley,
Formation 8 hardware fund,ocbzej8xmbplps2qq3kh.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/aRplW5PgOw9pU0f9m7VIug/432hD05OXvTadX1KeyWZUx6AOwmYDaRkqYoZE-99O2aBYRWwl59AhXOBey98-kRl/o19Ql6NiDbrSz8XUYHD7sdwTUeRBWatsn-1qY4EPX6c),http://formation8.com/,Formation 8 hardware fund I,SF Bay Area/Silicon Valley,
Founder Collective,a44614ef903df9d1c336bdc0438fac78.gif (https://v5.airtableusercontent.com/v1/15/15/1678500000000/6CDxCiVxYJZxCOK33UBLNw/HvneySme1TlcJ9GUwuuS16_GmfiyTzBCCg10XWTEm-tTPLjuNDx-e8o3-aMid_CeqQ_Ra3plVFyofrQRmqDGoQ/hwnyFHy0a6wPJdVRcR8_JINnCPeHzPztbg1nc3lmpA8),http://foundercollective.com/,Founder Collective II,"""New York, NY"",Boston/Cambridge",
Founders' Co-Op,ccc50d7eee6ec77ec8162ddb01771f59.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/QAbV1mHMMo2_QUcHHC-78Q/cl3ouK_blHdQxrTyyXjghder7izuzhejtR27UxjXbl13IyOYs9lvoMjMM5Jsvq9V0jycVcr-NPmVgWxxji9vrw/rygedpABkqnxx1DoOKB903tZIGH0J0rDSGze2ihDXDE),http://www.founderscoop.com/,Founders' Co-Op II,Seattle,
Freestyle,8335ae4d68906f4fd11012d3ce701f4d.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/w4kWf5-d_Rku6-qs9aZHIg/gDJkhYXgvDdHJGE9PR__l0GFIVii0EMdGAzyMFec8ZglO0gf-NHoAX9Iz4hftPejDU9aFFedR54O6Ixa9LfGhg/088LjXmRj3k0wRkr1rDyKQ4OBYSpFMHDh5gPF36YtAI),http://freestyle.vc/,"Freestyle III,Freestyle II,Freestyle I",SF Bay Area/Silicon Valley,
Frontline Ventures,863daa91a3ecb96fed179502587ff7a3.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/NdLQ3wQiuIybElkYU8JF-w/vhxFca-Inl5oyJI57wXPFrMkT2o0otFf7QZKo_pZYJILcfdlXoN2PRoiW6Kef1CS_YP7xdSNIv5TdnSJNQK3DA/VFL5rzetUNnasC_mr54SUVRGPqeS6RGMc9r-CVJ-7l8),http://www.frontline.vc/,Frontline Ventures I,"Dublin,London",
Fuel Capital,ea14b9ed38535f48cf1ce0a63d97c9b5.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/sN5-FLjrhRAq7hfMeWfA-Q/-NGGhLRtUFbPbX7OcZbNejWR2AKhmMi-vlcLVxGHmhbK3yPvCth99p8RFd11YkwAZD5Rk7y-fZ4E-1XRcvTqgw/Hk8KPqlqx9epgqEejbHe0iwc-WS8HE90HThA-FvUZNk),http://fuelcapital.com/,Fuel Capital I,SF Bay Area/Silicon Valley,
Greenspring Associates,f9efebcb5299d317c2e91cc0601132dc.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/j-zgPT3g8dL7oG97fxJEKA/2fu5at1JzOYNrlsX3cri2qRFHFyb5ORuyEk21dTHeMC8hmv4029Xa4b5-2cQmt-ZGsDR2gBIAKJk0NGi1GrelA/IEG3yjScvwo3XLxyEAp9e7qivnYE01zxLFqgMx-rUoo),http://greenspringassociates.com/,Greenspring Associates II,Baltimore,
Greycroft Partners,qosgi9hdybyph3ulalyr.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/JKR39JFR2MVIWIx2Hgfx0w/ZDGRH6QnolVoKMEkidKqZW3W5qnh9HymGLhdD9eRSPI43JTWF0NVkughXwiY0u9-/eYd4uz3sodHGtyYvEK2NGabjCjJrNYrZec9kLEM_xeM),http://greycroft.com/,"Greycroft Partners IV,Greycroft Partners I,Greycroft Partners III","""New York, NY"",Los Angeles",
Grove Ventures,vzdbvwxboafxmnlixtza.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Cw9S3p_9E3YVB6S4AtV_rg/2str0EG3EJDaw9yJEMmXP5cxRb1HeyDyI660HDwqH-ZSxxp1WOoRwMwpOLGdPJM3/wPwviUjtqwKY9P6W4AZjXegQPnq_VKClFh1KPsbKoLA),https://www.grovevc.com/,Grove Ventures I,Tel Aviv Metro Area,
Haystack,jq2bb8trcj82b2qqetzk.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/PODcV4v26L3nDOAU6S1biw/f8jgXsLrWYPd4s---0zIgTlEeuel_599POh2banq-CJeLfd0meuRuRwNKeuYR1bt/wtfaRqOdr-QUFMzNJGo1OREynkryMpYZIySS5vdITTc),http://blog.semilshah.com/haystack/,Haystack I,SF Bay Area/Silicon Valley,
Homebrew Ventures,011a4fd00c81d5d3b558cbcd54ea9175.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/t058jY8yFLx64-tuvPAreg/Q7MUQ1yE86axDUVxZrVbjsGOBwACRYjnP4Uy1TApVsnB476l8YWoKqJ97ZhRlBFFVPCAGTCVWW3zg651rM-whw/NfUkA1CvkPoMfgOMw-2JrH60ul5stNy4p9AiwyoypHg),http://homebrew.co/,"Homebrew Ventures II,Homebrew Ventures Opp Fund,Homebrew Ventures I",SF Bay Area/Silicon Valley,
Hoxton Ventures,9f082498f7363983d2a06fc02019edf5.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Cgt3sDF8V-fES4WtiqGPFA/mh2SxgJPT7hxtL-smGWgEfA9RA1UgBWHNLwIBI6Yc-GtDpMnPt9QnvSFPNkKYFptsv09lPTDUzeWBMkXVvrP7w/6X49efbSdZ4a3gbEZHcaI0bnJvorbvrCQ-9UEE33WHI),http://www.hoxtonventures.com/,Hoxton Ventures I,London,
HWVP,kivsl3itsep8hkdj1ova.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/X3MkNZb7l2_cdhDimiC_xA/BWoM7dkbDa2Rb1fYV894gB86KZkgEhD77P58nROX5HU2iu7jhf_FOyh7Cijs7T3U/j9mNqEWgs5ev0wcn7B89CC2t2u72ekhbGGw3renOT8U),http://www.hwvp.com/,HWVP VII,SF Bay Area/Silicon Valley,
I2A,e8c8d7ba59d1c4120872540cd7e24578.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/AD4i8MX0A91mJRNtuvCz5Q/mcsIHWdSViDx3PuL5iGK3A8I-0LSqfuiJfwsu7tA0qPj5qv0t9wNsqhy52L0pBwARuTWQhqSGNoxatRi59VHpQ/N9UDsmL2pYWFGmrtitsI52TFYIZeHim2GwXFTyRDCk0),http://www.i2afund.com/,I2A I,Chicago,
IA Ventures,64e77b7718260da88a1d266ac489c067.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/I3fs8jGZ1ERhFe5ORqoUDg/fg9dULvRchg0UGfLCbz5rqYyGmtp_oGPiwo7OczdueXovjadeitwPhvOuQyVOfDbLfiBs3DIWCNf0dh1YBrVOg/vFOCUmDWJsglntdk5a_0OQxu2nc_FRrfjrrQHQEpYf0),http://www.iaventures.com/,IA Ventures III,"""New York, NY""",
IDG Ventures,fjxamor6vmrxit3gamyf.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/0rsKCx1WEkvE707VL7wf2w/UY8MG1ROA6h12AzBnG-m54igV_fyYtr5mEjXaLkl4VZOf1atVsfk-uWahdwnh5-Z/-LLkADC3MgVqlVH_tA1fzebwLC2UDgHSbBCrlkzS4VI),http://www.idgventures.com/,"IDG Ventures III,IDG Ventures III",SF Bay Area/Silicon Valley,
Ignition Partners,zhqom4fuyc0shgvotv1o.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/nBxS0jIC32F6vjW9DQE4dQ/TMQmg7Zr32phyUj1q_R08E3iakaPmOP4MPwYoAcOHtI5-UgkgjFT4j39dsnhYrSq/BlvomI7HVL3wxxty6FKVFeAOwWPCnrkGyYLkPdNLQVM),http://www.ignitionpartners.com/,Ignition Partners VII,Seattle,
Illuminate,ilap5hkainq4ifevd82r.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/WoAxz7ak-QBnyii-p3cLNw/kiPSRp2JuCUtnzbHWmQBDFefZ3ZlETtqH-Xsni4YtRajKPf0uJ-G97L551A5FqA3/TK60DO2QH-fi8NhlJUCqiaehTh5O62IT5tMMmvXF7Cw),http://www.illuminate.com/,"Illuminate II,Illuminate I",SF Bay Area/Silicon Valley,
Indie.vc,pniiawnbyqyqtfewhocf.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/_hZIYeQwUpQ052ygbBdX5A/W-XXdrMzyTVIrPxX__ruUlOTgATvj51TLI5VMWgODSWxDOd5cTBSdNRaZ0D0Kg_V/QK-494CCf7bdoXd69pcpWKY3_TtbG9toE1cABfHoHZU),http://www.indie.vc/,Indie.vc II,SF Bay Area/Silicon Valley,
Industry Ventures,74dca227c83f25b9ae7ad6b58a78128c.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/uBSamjNd4Csh4CSqVY6AJQ/ews4Lc9t5XFlOXGBC8NQdr337W5ECdvhbz9TYyZO6NW6PJu-BuogTKx9sCPSqOEUZS6FxE6DIONeSawIBVo6Lw/WrcTB5vfLVZm4UAyXugVQsg--h4B5Ah7mykoLtMiVn4),http://www.industryventures.com/,Industry Ventures ,SF Bay Area/Silicon Valley,
Initialized Capital,8c03960061a68afb531387af0412ae5d.gif (https://v5.airtableusercontent.com/v1/15/15/1678500000000/It5YrE7Za33SFFn7SSrdhA/uMLnMMSNVbGmiAgDeSspv7ye7k1DFTNJauGteaJee-QZifRSBPnZTJ-Xa_4QRHoowR4jWbkIpqrfRU0Z8PSuvA/sghnX4A33-AsjId6Na5JitfQdh45jbOubTVliBItevs),http://www.initialized.co/,"Initialized Capital II,Initialized Capital I",SF Bay Area/Silicon Valley,
iNovia Capital,jbb4c3opd11a6kjjnnap.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Juyr4x9ZdVeHArnYALoZnQ/FyOVxdG62_YiZ6luVOprpRgivr61pYS65pA3vMYLDjRlYdFLbGexMqgpklbQ6zL1/IHNsiYxghH8SUB9j-XYzBvtcKU2XJDNZp_ciEX6KF1k),http://www.inovia.vc/,"iNovia Capital III,iNovia Capital IV",Montréal,
Intel Capital Diversity Fund,1adc4cc32d1e1ba5ca2905312a2a80cd.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/44MJQ4Z3GRqeMspCzfH6pg/grnsx8Nviq1f5w0KuEEkCDUj_6rGM6xGXj0W0wDzL94c8AVMFlzgvXPaxEptOZ6n_NS8f05z_NT-0yaDdclLgw/WL0lUzhWPyfNGctheUQSlBBPBajzIh2wtaO3207RCEc),http://www.intelcapital.com/,Intel Capital Diversity Fund I,SF Bay Area/Silicon Valley,
Inventus Capital Partners,bmpybupg2qdq0cwsrx9b.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/CkXWFnn6dVsNDUo7AOxUTA/nnWLtUmE-bL4r-mEJ32loSzcQihkQXTuepvshevM6AaGPk_9KktqshU8_wwh9TF5/U1ddeQJAhoCtqF1Q93E0eoZVb0gkRrypcfuA8c6lP00),http://inventuscap.com/,Inventus Capital Partners II,"Bangalore,SF Bay Area/Silicon Valley",
InverSur Capital,256137f4888107fdd19c22902f602264.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/1d0cMIhH0gEVWYjSFS1Oag/Q86EqZ5atDkCnEw4CssaE2tsA1YlHmc5g29HASoe2uNfV5jlK_BrhXVjwHspBtFdqCFWtaABpMj2kiEaIFqCxg/yknMX7GR2PtAlN9lwdoFMGH0ONv8ZR0sGBymmLR5X-k),http://www.inversurcapital.com/,InverSur Capital I,"""Santiago, Chile""",
Javelin Venture Partners,48d13ad55435fb3a8d64cff0c6560046.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/bwFplIhGfySzZCp1y7ZsOg/61s7_ib7VIY_0pJYHg3xB5iT3Spw1__5RF2saeZD_k3UpIsAU-FyCqZP3ndFynpDDVrSCZegGXUr8mdu4DHtTQ/QWTf-5yfxTfm3Ac-N9p20Vb877JwE-0HZ52hXrlxzyQ),http://javelinvp.com/,Javelin Venture Partners III,SF Bay Area/Silicon Valley,
K9 Ventures,646950dfbc82b048075fa623a57def19.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Hrw0fMxzKHmTLLjdFt-Z4g/l1DRf2y0DsvO7pcjE9QLTMecYQDdCW5CaMVeQ5Dqc4-XZFhNLR165P0qQrL6xKhFPaZqnhRkg3FSGJD3cHaKEQ/cJlaLxe6uu-GvuMJqQT6GLep5yuhOZ00mw4iRk6-dIA),http://www.k9ventures.com/,K9 Ventures II,SF Bay Area/Silicon Valley,
Karlani Capital,k2chv58vavf8bi2sei92.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/FtPdGPh-xlkTMo46NjIXZg/UvpXQDIAg2GIZ9Fic9T-rGy1p8Za8IpQnEFQSrIuZaKR3YkMtJWHVMKN2nScmM7L/FOz9vN7p4ttu1IjZK-cXwL3tFbTLZCADXCbVxWW5ckU),http://karlani.com/,Karlani Capital I,"""New York, NY""",
KEC Ventures,4abb0ca24b9df94b9d1ac87e63cfba8a.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/fns67gP1qjShFpqiYBNW3g/x4hgOhkQV-memAdtk7SDrl18YcQfoOgAIPvv2oo9-zF1VL2Eg9LoA_KAecvPDWWLPQpOy8qbYrj8dtL3kc2XiQ/HKmCs7bTFdAyqaEUCiQt4hsCaN9sdaZD3D7dVQIxOWs),http://kecventures.com/,KEC Ventures II,"""New York, NY""",
Kibo Ventures,da645016a54b70ce7f8c0b79fa414e78.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Krtnsh5vygAx325xp4UrOQ/CU6Lc2JMUf0odt1G1DKHcK9cCluSPuTI7uxuFTGrcKx8xfqC9dfomREDQvaP1Ek5xGT_r9nr8YibzEbZq6hYcw/HbdEc6zlFycGhqWuPNJ1dNpTCK16GJGF1s5kaYJZXTc),http://www.kiboventures.com/,Kibo Ventures I,Madrid,
Kickstart Seed Fund,e97126e4838bd992062880649eb235df.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ZW2PFXt75nMLAoSxczYUMQ/_-18qwIS_IH6fIKP-v8cGzcukFu4HOC1S-bKKcmWm2JrHTQmXd8JtaNVSKTZ7APpveeKotrMHLuibGpy2ZIA0Q/-xALBnHNLXSgoOjvPjh19dDv83xRaJPXQ2Fm193UwzQ),http://kickstartfund.com/,"Kickstart Seed Fund II,Kickstart Seed Fund III","""Salt Lake City, UT""",
Learn Capital,49d31b1b0d417012426260773e44c5e5.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/cpopDGkIzFuZOq5ZbiitvQ/xDFXcpollzgDoZMDsyhqMcxDQWSr4wUcoed8ARYcuBhEh41e1gmBvVwLHcTVtkUz9Oq-LsCBqXuCTw5d2BOkFA/D9D4gX8p2SUCn68H006fzjUAg_3fkNFGiN6iQ0djRRY),http://www.learncapital.com/,Learn Capital I,SF Bay Area/Silicon Valley,
Lemnos Labs,60cac8a2ff6e6abfbd94a6aa68ae7e5b.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/TtuXe45V8EcHQjpvGhjy-g/cgUE0ijhPezDz6uaNRYohCqqx52RQagASuABl1saE-UyD5-wIfeKVI6w8btPe6iIUaEwQtZKUsDnqxzApkfIIA/wy9so2y1f2QnYrdb2lRqIdjOS-8nJ_OR4gmgXgNdbGc),http://lemnoslabs.com/,Lemnos Labs I,SF Bay Area/Silicon Valley,
Lerer Hippeau Ventures,yrkkz00ld3njtvocf6fq.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/BZQuivMdk2TOzWnGJweMtA/DuVe5oSh1guII8rBdL06H7H0gvoUmMlQKNtKSL8X_STB05Qi3f3SDvSHqnCU4TsG/eApop_D7hsmMQ9Fq54U9dQHvdSi_AbIr8BkaiKid_04),http://www.lererhippeau.com/,"Lerer Hippeau Ventures V,Lerer Hippeau Ventures IV,Lerer Hippeau Ventures III","""New York, NY""",
Lightstone Ventures,30c24637505b9b68ae412cbd66c1afe1.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/LH24m3dihmOuCfKLTvhOtQ/DPq9nuXiq-2vVGweBJHicncdjxRq78k6KtN5NF5-68SdV_rOoNce9MvgvcWpYESVg9dbD4PW2QYZDTKJ9YzNCQ/kP78UZ90WrdEj6qbgvOSnZgZuULqM3brrU5reM0FB7U),http://lightstonevc.com/,Lightstone Ventures I,SF Bay Area/Silicon Valley,
Line (JV with Collaborative Fund),93db4f1192e705e85828dfb305ab1b8d.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/s_iRWmXY755eMb1CfFSbEw/FtEPYMfgNSh6xifsCfAjkrp8DuVvC2TpqmBKfpq1qp-3qjed9J3rjiPg3DKw29EN5AO82fnI7IsR7pCmT9r_GQ/yDYA9rErFq3HcCA-VB1MNOXOLiRGVwgmZvxHj7gf7WE),http://www.collaborativefund.com/,Line (JV with Collaborative Fund) I,"""New York, NY""",
LionBird,v82flvkeusvudsa2ajzx.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ZBlpnY5NjfyF-MMcpc1XMg/zIzsZ6iWYNnD4iEwBL8ooUo2INLnaj4zBRCqthqPVjZBXfcbmvw3wiL8MKPFxpnu/cxbDPxA5OIB_Cty0ZzSlm8s24duE1ntFfDqz-EusBT0),http://lionbird.com/,LionBird I,Tel Aviv Metro Area,
Liquid 2 Ventures,707711-0d251ac9ac046fcaf6e12419d851c6e0-thumb_jpg.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/utAo9D5p5eXyglBJGyfp2w/2Ve1ZW896knDyCm5BO6CVyMIn5YS08BkrGLCRIIsDJ3MMaAKG7hChtv4KLVcAgtLcWmCdYcUK56FknFhPSB7YAk6lpyVaUYFtWZDZqry2As/kUTl09Jk6fo9FTql5wDP1I8UHNgquhZNXs-zaCj_AcM),http://liquid2.vc/,Liquid 2 Ventures II,SF Bay Area/Silicon Valley,
LiveOak Ventures Partners,9d301242916cd33be3e4e0b74d4c4efe.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/GksdgM3koQA-A8Rz2lTh0w/fxqA8wakVBSWbeONSdzX3t0kFBBWyzFCKeymYvQXxLxfOe0wrWAbeN5BKXlRPYDJTRisd7oLdscM4VgQzBNNAg/FBt0qOI_tAmQ8mLQ9YYN95oyD1p118EA7MtE7xXCKcc),http://liveoakvp.com/,LiveOak Ventures Partners I,Austin,
Long Ventures Partners,,,Long Ventures Partners I,SF Bay Area/Silicon Valley,
Lowercase,o5sp9vj2ftnyj55m2ofx.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/27-ATggeMTtsss7COkpx1w/DWWneUBgxGhid9-_s5xSDz1yZadML2jmmt-QiCfSZajNgplizXiRV4HJnunH7YS1/_uz_IGxEeEVNDsQ3LH_9wKM3FS04kz6MlDF6YMANEzk),http://lowercasecapital.com/,Lowercase III,Los Angeles,
Ludlow Ventures,htxfx3gafwntsn6mbsqb.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/_a7etCyd49B82aRT-gTJzg/OqR0JexyWAiqR7hoUd0viYR8SWDQamRZXtg7xSdBaMVWEo1IDORDXPZE_E2GRYG-/xovVDu5N-K0dNeF_L_5ifD5fZm8crStLLX3t8U1gQyU),http://www.ludlowventures.com/,"Ludlow Ventures I,Ludlow Ventures I",Detroit,
Maiden Lane,qekbnor9skdxb6hamta4.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/SilDQqJlVTfgroHXCFxi6w/Ox5syA_vwmJjVXDDPZzVINmWgESXrk26npdwDDHLtwqV-AdnSMUTuuX6d6K31seJ/EBW4y5cx2RzzWSXASDYclFcSJEZ4HbpCpRf8mZ_1qIg),http://maidenlane.com/,Maiden Lane I,SF Bay Area/Silicon Valley,
MentorTech Ventures,d7bncikxsufassvulqnc.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/wgIQ0brbb8SF0ltwBILamw/B0UVCQclXxf5CwLhNOuj9fiMn3InvlM5TFvJAWzT7G8YmbAqlFBPFBXDTeFljvhx/okhZlSuixYoJ6d5xQ8L1h2sgOd1l4KFqfbSni9t4cqs),http://www.mentortechventures.com/,MentorTech Ventures III,Philadelphia,
Mercato Partners,14c45fa7e7042d73669feb6cb6a34c78.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/5ekgIz7P1AHkv3FLVI6UCw/DqGJHrfFkZV7UUbpVbthh57bGgJa_FB-G8uu9193LkuGe-qTOTMAnhisym2P0TOgDdXCMfwljZB08X_RZbsY5w/xyzG3AtncmeJAnJn68ClZrOW1emAvEjoMrPQR7uNrbI),http://www.mercatopartners.com/,Mercato Partners II,"""Salt Lake City, UT""",
Merus Capital,k1vkvayhrvyb9sj4g67m.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/VErp5MnWAaEoFtwKWDI6jw/QGCF86KUVkLp4GbyhE2XVgBF4UKDTRVEubncoZYeFdhtliN7GnMAI9BC_onZpA_O/XB5uS80Z9M_4kMNJLPmOtlh92QraNanREq1sm1rMW3M),http://www.meruscap.com/,"Merus Capital II,Merus Capital II",SF Bay Area/Silicon Valley,
