Name,Logo,Site,Funding Rounds,Location(s),Notes
Aspect Ventures,aspect_ventures.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/0wDPUXe03_bSMEphXiHeyg/wwKYXpIZYI5Rn3a-98drYpnQcNy7AahSnv71VBQXNITZwhaXQ4ATlws9LQJMJfQW/CUzWkLU2ZKsd-kIELcAxOKJ4X0reFByNYocLW-JRhW8),http://www.aspectventures.com/,Aspect Ventures I,SF Bay Area/Silicon Valley,
B-to-v Partners,tsxkignvzns4z3yw3pau.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ohGNK8WoJ_eQyqcctmXzuA/eltmrJu0htf1XToF6TtrhONIBTS2Q5E8TxnOyp8BWkiZQdvPlsYw8U0BEw7s9nFa/LqQZJGXvHq9w7X10OqatdKvQK5XwCab4qK6IhivrGd0),http://www.b-to-v.com/,B-to-v Partners III,"Berlin,""St. Gallen, Switzerland"",Luxembourg",
BBVA Ventures,38a2ee594f3141af6182f435e804728a.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/99FCFsp_IjWyAgvQt6PyVA/gTVwZNzDZI9C2-dYhvVmV2XXxOB4r2TWxJrmdrWbeALo-VB8OHDmQ_xeNwKhLGLNDxcshsJOikWKfREOpZN__g/Kdsd0xjsGYQQgJJY29W-_ejtFFOMyDqtOjS_COAmbBE),http://bbvaventures.com/,BBVA Ventures I,"Madrid,SF Bay Area/Silicon Valley",Closed 2/11/16
Bee Partners,hiezkgml1tus5dkxjeud.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Z1ovhkJB2LR6r63Bffiybw/d-1ibZB-rj4jwbK69fBKv1b_bJlp1x5A2drStjSRfTs5ZGH1q-Q5WycP0z14FpbL/f_zJQ41Vb5cV-E5rkA_IWejUpllUcd9H7t7WNUKRJLA),http://beepartners.vc/,"Bee Partners II,Bee Partners I",SF Bay Area/Silicon Valley,
Benhamou Global Ventures,fc39e8e9eed001df773b3c4fbf56ef51.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/yIMZmXr0XIhGiz2ouF8YsQ/eujLuj1_Pe3lmbNdILY6Pe_yc28IdntlKPHRi-uk2l0ZfW1jdJa6g4AIscpejjq5bjLsw0Qhi4tDazc09kn3bg/fdTBDQfDsOx1pcuSB7lce4fbXM_fgcgtqV45w4WqP8E),http://benhamouglobalventures.com/,Benhamou Global Ventures III,SF Bay Area/Silicon Valley,
Binary Capital,ni2nou06uafinorvxnbs.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/hq3EGVwbQCMShyuwKRg9iw/ybXj-v8mmCYElKWjp7Of9nQuLYxhz3euirNv0LYNVD7oSphG1kKdrORIyIUD0IqX/0f740qnFo8oLBzVjkbtPV9ClG7URz7pD4Z4Imf5_D1M),http://www.binarycap.com/,"Binary Capital II,Binary Capital I",SF Bay Area/Silicon Valley,
Blackbird Ventures,ce8300e3ade180ec05e8839e86d11917.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/s7iH_RH-VD9ypkn99mhRXQ/hq2l-udisNPf3abVU-Rs3IGiQemOzqI_WvGZKvwAz3f-gXkwgGK_PlDtQrx0uCnNHv4WxGInBRK-NfmAuX62cA/VSdj_AWsyh7gocAFr0ZBPFFgz6fbsl-o5ksmJHgq-eE),http://www.blackbird.vc/,Blackbird Ventures I,Sydney,
Bloomberg Beta,7efb1b0061d0a6d64bc0710262fa52b0.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/E1DE07KjmKbkoIsEkH6yug/FUHeemwryFERhznB6q_ars1TcSmQ7YepkDV5w6Q5-b2YK9hwd2aaPVkNvpQRy2zN4F-JUy8PYC0AThm36Vl7QQ/id5UqHdEzO34FQrW6j0UU4nxWmpjrgxAoOizEXx-wZE),http://www.bloombergbeta.com/,Bloomberg Beta I,"SF Bay Area/Silicon Valley,""New York, NY""",
BlueYard Capital,haafv4fuknpeu9ajnrkh.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/kgDdHjwOCUDXT0gxo_s72w/QP6EdyvwUi1ODpG6GWdkLrA5vSsvv2X7sW6AUdx3j5TfHPD801DStyFERj286YpV/rvWZyApvZXcD6WEvXaZRbNVxzCP7KkVer065bRnLAHw),http://blueyard.com/,BlueYard Capital I,Berlin,
BoldStart Ventures,kdufratlexxjucykluau.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/WaPTcT5Ztc6Bay_AUaJEBQ/wzBXEb3g_t6JBY_ZSdsOtxSuiGaKhencWp0ukg711_GsUNebQ15_VDq6xX3uzRJA/jXyqF3z97ihVI-hv62Dhau4gkhCHXP6tA9pKDWTFWAs),http://www.boldstart.vc/,"BoldStart Ventures III,BoldStart Ventures II,BoldStart Ventures I","""New York, NY""",
